year,title,rating,no_of_reviews,directors_actors,genres,runtime,gross
(1971),Diamonds Are Forever,6.5,"109,257","Director:,Guy Hamilton,,|,Stars:,Sean Connery,,,Jill St. John,,,Charles Gray,,,Lana Wood,","Action, Adventure, Thriller",120 min,$43.82M
(I) (2018),Tag,6.5,"137,571","Director:,Jeff Tomsic,,|,Stars:,Jeremy Renner,,,Ed Helms,,,Jake Johnson,,,Jon Hamm,","Action, Comedy",100 min,$54.55M
(1983),Octopussy,6.5,"108,526","Director:,John Glen,,|,Stars:,Roger Moore,,,Maud Adams,,,Louis Jourdan,,,Kristina Wayborn,","Action, Adventure, Thriller",131 min,$67.90M
(2014),A Walk Among the Tombstones,6.5,"123,738","Director:,Scott Frank,,|,Stars:,Liam Neeson,,,Dan Stevens,,,David Harbour,,,Boyd Holbrook,","Action, Crime, Drama",114 min,$26.31M
(1987),Beverly Hills Cop II,6.5,"123,470","Director:,Tony Scott,,|,Stars:,Eddie Murphy,,,Judge Reinhold,,,Jürgen Prochnow,,,Ronny Cox,","Action, Comedy, Crime",100 min,$153.67M
(1991),The Rocketeer,6.5,"59,322","Director:,Joe Johnston,,|,Stars:,Billy Campbell,,,Jennifer Connelly,,,Alan Arkin,,,Timothy Dalton,","Action, Adventure, Family",108 min,$46.70M
(2008),The Spiderwick Chronicles,6.5,"98,439","Director:,Mark Waters,,|,Stars:,Freddie Highmore,,,Sarah Bolger,,,David Strathairn,,,Mary-Louise Parker,","Action, Adventure, Drama",96 min,$71.20M
(1993),Cliffhanger,6.5,"133,328","Director:,Renny Harlin,,|,Stars:,Sylvester Stallone,,,John Lithgow,,,Michael Rooker,,,Janine Turner,","Action, Adventure, Thriller",113 min,$84.05M
(2001),Swordfish,6.5,"190,575","Director:,Dominic Sena,,|,Stars:,John Travolta,,,Hugh Jackman,,,Halle Berry,,,Don Cheadle,","Action, Crime, Thriller",99 min,$69.77M
(2018),Peppermint,6.5,"66,847","Director:,Pierre Morel,,|,Stars:,Jennifer Garner,,,John Gallagher Jr.,,,John Ortiz,,,Juan Pablo Raba,","Action, Thriller",101 min,$35.42M
(1996),Executive Decision,6.5,"59,289","Director:,Stuart Baird,,|,Stars:,Kurt Russell,,,Halle Berry,,,John Leguizamo,,,Oliver Platt,","Action, Adventure, Thriller",133 min,$56.57M
(2008),Get Smart,6.5,"221,490","Director:,Peter Segal,,|,Stars:,Steve Carell,,,Anne Hathaway,,,Alan Arkin,,,Dwayne Johnson,","Action, Adventure, Comedy",110 min,$130.32M
(2003),Godzilla: Tokyo S.O.S.,6.5,"4,620","Directors:,Masaaki Tezuka,,,Koji Hashimoto,,,Takao Okawara,,,Kazuki Ômori,,|,Stars:,Noboru Kaneko,,,Miho Yoshioka,,,Mickey Koga,,,Hiroshi Koizumi,","Action, Adventure, Fantasy",91 min,
(I) (2012),Safe,6.5,"112,827","Director:,Boaz Yakin,,|,Stars:,Jason Statham,,,Catherine Chan,,,Chris Sarandon,,,Robert John Burke,","Action, Crime, Thriller",94 min,$17.14M
(2005),Hostage,6.5,"111,855","Director:,Florent-Emilio Siri,,|,Stars:,Bruce Willis,,,Kevin Pollak,,,Serena Scott Thomas,,,Jimmy Bennett,","Action, Crime, Drama",113 min,$34.64M
(2015),Hyena Road,6.5,"8,133","Director:,Paul Gross,,|,Stars:,Rossif Sutherland,,,Allan Hawco,,,David Richmond-Peck,,,Karl Campbell,","Action, Drama, War",120 min,$0.00M
(2008),The Forbidden Kingdom,6.5,"107,110","Director:,Rob Minkoff,,|,Stars:,Jackie Chan,,,Jet Li,,,Michael Angarano,,,Juana Collignon,","Action, Adventure, Fantasy",104 min,$52.08M
(2009),Underworld: Rise of the Lycans,6.5,"163,002","Director:,Patrick Tatopoulos,,|,Stars:,Rhona Mitra,,,Michael Sheen,,,Bill Nighy,,,Steven Mackintosh,","Action, Fantasy, Thriller",92 min,$45.80M
(1966),Batman,6.5,"34,253","Director:,Leslie H. Martinson,,|,Stars:,Adam West,,,Burt Ward,,,Lee Meriwether,,,Cesar Romero,","Action, Adventure, Comedy",105 min,
(2015),Self/less,6.5,"101,072","Director:,Tarsem Singh,,|,Stars:,Ryan Reynolds,,,Natalie Martinez,,,Matthew Goode,,,Ben Kingsley,","Action, Mystery, Sci-Fi",117 min,$12.28M
(1990),Nightbreed,6.5,"24,535","Director:,Clive Barker,,|,Stars:,Craig Sheffer,,,David Cronenberg,,,Anne Bobby,,,Charles Haid,","Action, Fantasy, Horror",102 min,$8.86M
(1990),Young Guns II,6.5,"37,350","Director:,Geoff Murphy,,|,Stars:,Emilio Estevez,,,Kiefer Sutherland,,,Lou Diamond Phillips,,,Christian Slater,","Action, Drama, Western",104 min,$44.14M
(2004),Cellular,6.5,"102,639","Director:,David R. Ellis,,|,Stars:,Kim Basinger,,,Chris Evans,,,Jason Statham,,,William H. Macy,","Action, Crime, Thriller",94 min,$32.00M
(I) (2009),The International,6.5,"97,100","Director:,Tom Tykwer,,|,Stars:,Clive Owen,,,Naomi Watts,,,Armin Mueller-Stahl,,,Ulrich Thomsen,","Action, Crime, Drama",118 min,$25.45M
(2022),Shin Ultraman,6.5,"2,369","Director:,Shinji Higuchi,,|,Stars:,Takumi Saitoh,,,Masami Nagasawa,,,Hidetoshi Nishijima,,,Daiki Arioka,","Action, Adventure, Drama",118 min,
(1993),The Heroic Trio,6.5,"3,750","Director:,Johnnie To,,|,Stars:,Michelle Yeoh,,,Anita Mui,,,Maggie Cheung,,,Damian Lau,","Action, Fantasy, Thriller",88 min,
(1986),Running Scared,6.5,"13,839","Director:,Peter Hyams,,|,Stars:,Gregory Hines,,,Billy Crystal,,,Steven Bauer,,,Darlanne Fluegel,","Action, Comedy, Crime",107 min,$38.50M
(1971),The Last Run,6.5,"1,892","Directors:,Richard Fleischer,,,John Huston,,|,Stars:,George C. Scott,,,Tony Musante,,,Trish Van Devere,,,Colleen Dewhurst,","Action, Crime, Drama",95 min,
(1965),The 10th Victim,6.5,"4,585","Director:,Elio Petri,,|,Stars:,Marcello Mastroianni,,,Ursula Andress,,,Elsa Martinelli,,,Salvo Randone,","Action, Comedy, Romance",92 min,
(1982),Class of 1984,6.5,"12,461","Director:,Mark L. Lester,,|,Stars:,Perry King,,,Merrie Lynn Ross,,,Timothy Van Patten,,,Roddy McDowall,","Action, Crime, Drama",98 min,
(1986),Thrashin',6.5,"4,732","Director:,David Winters,,|,Stars:,Josh Brolin,,,Robert Rusler,,,Pamela Gidley,,,Brooke McCarter,","Action, Drama, Romance",93 min,
(2021),Space Sweepers,6.5,"26,761","Director:,Sung-hee Jo,,|,Stars:,Song Joong-ki,,,Kim Tae-ri,,,Jin Seon-kyu,,,Hae-Jin Yoo,","Action, Adventure, Drama",136 min,
(2018),Beirut,6.5,"23,347","Director:,Brad Anderson,,|,Stars:,Jon Hamm,,,Jay Potter,,,Khalid Benchagra,,,Ania Josse,","Action, Crime, Drama",109 min,$5.02M
(2012),Premium Rush,6.5,"115,838","Director:,David Koepp,,|,Stars:,Joseph Gordon-Levitt,,,Michael Shannon,,,Dania Ramirez,,,Sean Kennedy,","Action, Crime, Thriller",91 min,$20.28M
(1974),Foxy Brown,6.5,"10,979","Director:,Jack Hill,,|,Stars:,Pam Grier,,,Antonio Fargas,,,Peter Brown,,,Terry Carter,","Action, Crime, Thriller",92 min,$2.46M
(2018),Master Z: The Ip Man Legacy,6.5,"9,161","Director:,Woo-Ping Yuen,,|,Stars:,Jin Zhang,,,Dave Bautista,,,Yan Liu,,,Michelle Yeoh,","Action, Biography, Crime",107 min,$6.21M
(2001),Heist,6.5,"37,944","Director:,David Mamet,,|,Stars:,Gene Hackman,,,Rebecca Pidgeon,,,Danny DeVito,,,Delroy Lindo,","Action, Crime, Drama",109 min,$0.05M
(2002),The Four Feathers,6.5,"34,734","Director:,Shekhar Kapur,,|,Stars:,Heath Ledger,,,Wes Bentley,,,Kate Hudson,,,Mohamed Bouich,","Action, Adventure, Drama",132 min,$18.31M
(2006),Flyboys,6.5,"43,413","Director:,Tony Bill,,|,Stars:,James Franco,,,Jean Reno,,,Jennifer Decker,,,Scott Hazell,","Action, Drama, History",140 min,$13.08M
(2004),Ladder 49,6.5,"58,432","Director:,Jay Russell,,|,Stars:,Joaquin Phoenix,,,John Travolta,,,Jacinda Barrett,,,Robert Patrick,","Action, Drama, Thriller",115 min,$74.54M
(1984),Cloak & Dagger,6.5,"7,886","Director:,Richard Franklin,,|,Stars:,Henry Thomas,,,Dabney Coleman,,,Michael Murphy,,,Christina Nigra,","Action, Adventure, Crime",101 min,$9.72M
(1992),Gladiator,6.5,"9,732","Director:,Rowdy Herrington,,|,Stars:,James Marshall,,,Cuba Gooding Jr.,,,Brian Dennehy,,,Richard Lexsee,","Action, Drama, Sport",101 min,$9.22M
(1993),Only the Strong,6.5,"6,493","Director:,Sheldon Lettich,,|,Stars:,Mark Dacascos,,,Stacey Travis,,,Geoffrey Lewis,,,Paco Christian Prieto,","Action, Drama",99 min,$3.27M
(2006),Dhoom 2,6.5,"28,001","Director:,Sanjay Gadhvi,,|,Stars:,Hrithik Roshan,,,Abhishek Bachchan,,,Aishwarya Rai Bachchan,,,Uday Chopra,","Action, Crime, Thriller",152 min,$2.64M
(1978),The Inglorious Bastards,6.5,"9,978","Director:,Enzo G. Castellari,,|,Stars:,Bo Svenson,,,Peter Hooten,,,Fred Williamson,,,Michael Pergolani,","Action, Adventure, War",99 min,
(2010),Dante's Inferno: An Animated Epic,6.5,"9,494","Directors:,Victor Cook,,,Mike Disa,,,Sangjin Kim,,,Shûkô Murase,,,Jong-Sik Nam,,,Lee Seung-Gyu,,,Yasuomi Umetsu,,|,Stars:,Graham McTavish,,,Vanessa Branch,,,Steve Blum,,,Peter Jessop,","Animation, Action, Adventure",88 min,
(2021),Mortal Kombat Legends: Battle of the Realms,6.5,"7,185","Director:,Ethan Spaulding,,|,Stars:,Jennifer Carpenter,,,Joel McHale,,,Ike Amadi,,,Artt Butler,","Animation, Action, Adventure",80 min,
(I) (2013),Blood Ties,6.5,"20,559","Director:,Guillaume Canet,,|,Stars:,Clive Owen,,,Marion Cotillard,,,Billy Crudup,,,Mila Kunis,","Action, Crime, Drama",127 min,$0.04M
(1968),Hellfighters,6.5,"6,037","Director:,Andrew V. McLaglen,,|,Stars:,John Wayne,,,Katharine Ross,,,Jim Hutton,,,Vera Miles,","Action, Adventure, Drama",121 min,
(1975),The Jezebels,6.5,"3,968","Director:,Jack Hill,,|,Stars:,Robbie Lee,,,Joanne Nail,,,Monica Gayle,,,Asher Brauner,","Action, Crime, Drama",91 min,$0.05M
(2020),Embattled,6.5,"3,323","Director:,Nick Sarkisov,,|,Stars:,Drew Starkey,,,Stephen Dorff,,,Elizabeth Reaser,,,Darren Mann,","Action, Drama, Sport",117 min,
(2011),Blackthorn,6.5,"10,057","Director:,Mateo Gil,,|,Stars:,Sam Shepard,,,Eduardo Noriega,,,Stephen Rea,,,Magaly Solier,","Action, Adventure, Western",102 min,$0.20M
(1982),Vigilante,6.5,"4,182","Director:,William Lustig,,|,Stars:,Robert Forster,,,Fred Williamson,,,Richard Bright,,,Rutanya Alda,","Action, Crime, Thriller",90 min,
(1948),Wake of the Red Witch,6.5,"2,772","Director:,Edward Ludwig,,|,Stars:,John Wayne,,,Gail Russell,,,Gig Young,,,Adele Mara,","Action, Adventure, Romance",106 min,
(2020),High Ground,6.5,"2,194","Director:,Stephen Johnson,,|,Stars:,Guruwuk Mununggurr,,,Wakarra Gondarra,,,Mark Garrawurra,,,Neville Namarnyilk,","Action, Drama, Thriller",104 min,
(1987),North Shore,6.5,"2,784","Director:,William Phelps,,|,Stars:,Matt Adler,,,Nia Peeples,,,Gregory Harrison,,,John Philbin,","Action, Drama, Romance",96 min,$3.83M
(1973),Lolly-Madonna XXX,6.5,668,"Director:,Richard C. Sarafian,,|,Stars:,Rod Steiger,,,Robert Ryan,,,Jeff Bridges,,,Scott Wilson,","Action, Crime, Drama",103 min,
(1957),Zero Hour!,6.5,"2,092","Director:,Hall Bartlett,,|,Stars:,Dana Andrews,,,Linda Darnell,,,Sterling Hayden,,,Elroy 'Crazylegs' Hirsch,","Action, Adventure, Drama",81 min,
(2004),Spartan,6.5,"32,416","Director:,David Mamet,,|,Stars:,Val Kilmer,,,Derek Luke,,,William H. Macy,,,Tia Texada,","Action, Crime, Drama",106 min,$4.43M
(2011),Miss Bala,6.5,"9,268","Director:,Gerardo Naranjo,,|,Stars:,Stephanie Sigman,,,Noé Hernández,,,Irene Azuela,,,J.R. Yenque,","Action, Crime, Drama",113 min,
(1988),Deadbeat at Dawn,6.5,"2,462","Director:,Jim Van Bebber,,|,Stars:,Paul Harper,,,Jim Van Bebber,,,Megan Murphy,,,Ric Walker,","Action, Crime, Horror",80 min,
(2002),The Powerpuff Girls Movie,6.5,"10,438","Directors:,Craig McCracken,,,Genndy Tartakovsky,,|,Stars:,Cathy Cavadini,,,Tara Strong,,,Elizabeth Daily,,,Roger Jackson,","Animation, Action, Adventure",73 min,$11.41M
(2009),District 13: Ultimatum,6.5,"45,305","Director:,Patrick Alessandrin,,|,Stars:,Cyril Raffaelli,,,David Belle,,,Philippe Torreton,,,Daniel Duval,","Action, Crime, Thriller",101 min,$0.04M
(1979),Buck Rogers in the 25th Century,6.5,"6,467","Director:,Daniel Haller,,|,Stars:,Gil Gerard,,,Erin Gray,,,Pamela Hensley,,,Henry Silva,","Action, Adventure, Sci-Fi",89 min,$21.67M
(1964),Rio Conchos,6.5,"2,116","Director:,Gordon Douglas,,|,Stars:,Richard Boone,,,Stuart Whitman,,,Anthony Franciosa,,,Wende Wagner,","Action, Drama, War",107 min,
(2018),City Hunter,6.5,"4,952","Director:,Philippe Lacheau,,|,Stars:,Philippe Lacheau,,,Élodie Fontan,,,Tarek Boudali,,,Julien Arruti,","Action, Comedy, Crime",91 min,
(1965),The Heroes of Telemark,6.5,"7,578","Director:,Anthony Mann,,|,Stars:,Kirk Douglas,,,Richard Harris,,,Ulla Jacobsson,,,Michael Redgrave,","Action, Drama, History",131 min,
(2017),Bad Day for the Cut,6.5,"8,463","Director:,Chris Baugh,,|,Stars:,Nigel O'Neill,,,Susan Lynch,,,Józef Pawlowski,,,Stuart Graham,","Action, Crime, Drama",99 min,
(1997),Dobermann,6.5,"18,194","Director:,Jan Kounen,,|,Stars:,Vincent Cassel,,,Tchéky Karyo,,,Monica Bellucci,,,Antoine Basler,","Action, Crime, Thriller",103 min,
(2019),Justice League vs the Fatal Five,6.5,"9,823","Director:,Sam Liu,,|,Stars:,Elyes Gabel,,,Diane Guerrero,,,Kevin Conroy,,,Susan Eisenberg,","Animation, Action, Fantasy",77 min,
(2018),Animal World,6.5,"4,736","Director:,Yan Han,,|,Stars:,Yifeng Li,,,Yunhe Yi,,,Bingkun Cao,,,Yijuan Li,","Action, Fantasy, Sci-Fi",132 min,
(1977),Telefon,6.5,"5,855","Director:,Don Siegel,,|,Stars:,Charles Bronson,,,Lee Remick,,,Donald Pleasence,,,Tyne Daly,","Action, Crime, Drama",102 min,
(1970),Cotton Comes to Harlem,6.5,"2,491","Director:,Ossie Davis,,|,Stars:,Godfrey Cambridge,,,Raymond St. Jacques,,,Calvin Lockhart,,,Judy Pace,","Action, Comedy, Crime",97 min,$4.39M
(2016),Operation Mekong,6.5,"5,016","Director:,Dante Lam,,|,Stars:,Hanyu Zhang,,,Eddie Peng,,,Baoguo Chen,,,Chun Sun,","Action, Adventure, Crime",123 min,$0.80M
(2014),Appleseed Alpha,6.5,"8,609","Directors:,Shinji Aramaki,,,Steven Foster,,|,Stars:,Yuka Komatsu,,,Jun'ichi Suwabe,,,Aoi Yûki,,,Hiroki Takahashi,","Animation, Action, Adventure",93 min,
(1989),Godzilla vs. Biollante,6.5,"6,159","Directors:,Kazuki Ômori,,,Koji Hashimoto,,,Kenjirô Ohmori,,|,Stars:,Kunihiko Mitamura,,,Yoshiko Tanaka,,,Masanobu Takashima,,,Kôji Takahashi,","Action, Sci-Fi, Thriller",104 min,
(2002),The Good Thief,6.5,"10,669","Director:,Neil Jordan,,|,Stars:,Nick Nolte,,,Ralph Fiennes,,,Nutsa Kukhianidze,,,Ouassini Embarek,","Action, Crime, Drama",109 min,$3.52M
(1993),Godzilla vs. Mechagodzilla II,6.5,"5,317","Directors:,Takao Okawara,,,Kazuki Ômori,,|,Stars:,Masahiro Takashima,,,Ryoko Sano,,,Megumi Odaka,,,Yûsuke Kawazu,","Action, Adventure, Drama",105 min,
(1976),Aces High,6.5,"2,780","Director:,Jack Gold,,|,Stars:,Malcolm McDowell,,,Christopher Plummer,,,Simon Ward,,,Peter Firth,","Action, Drama, War",114 min,
(1995),Beyond Rangoon,6.5,"5,301","Director:,John Boorman,,|,Stars:,Patricia Arquette,,,U Aung Ko,,,Frances McDormand,,,Spalding Gray,","Action, Adventure, Drama",100 min,$5.75M
(I) (2007),Battle for Terra,6.5,"11,955","Director:,Aristomenis Tsirbas,,|,Stars:,Evan Rachel Wood,,,Luke Wilson,,,Justin Long,,,Chad Allen,","Animation, Action, Adventure",85 min,$1.65M
(2019),Lock & Key,6.5,85,"Director:,Rodney Jackson,,|,Stars:,Tavares M. Wilson,,,Lem Collins,,,Jaye Taylor,,,Alphonso A'Qen-Aten Jackson,",Action,97 min,
(2008),Killer Bean Forever,6.5,"4,126","Director:,Jeff Lew,,|,Stars:,Vegas J. Jenkins,,,Bryan Session,,,Matthew Tyler,,,David Guilmette,","Animation, Action, Adventure",85 min,
(2018),Scooby-Doo & Batman: The Brave and the Bold,6.5,"2,692","Director:,Jake Castorena,,|,Stars:,Frank Welker,,,Grey Griffin,,,Matthew Lillard,,,Diedrich Bader,","Animation, Action, Comedy",75 min,
(2013),Walking with the Enemy,6.5,"2,438","Director:,Mark Schmidt,,|,Stars:,Jonas Armstrong,,,Ben Kingsley,,,Hannah Tointon,,,Simon Kunz,","Action, Drama, History",124 min,$0.36M
(2010),Tracker,6.5,"4,109","Director:,Ian Sharp,,|,Stars:,Ray Winstone,,,Nicholas McGough,,,Gareth Reeves,,,Mark Mitchinson,","Action, Adventure, Drama",102 min,
(1968),Guns for San Sebastian,6.5,"2,252","Director:,Henri Verneuil,,|,Stars:,Anthony Quinn,,,Anjanette Comer,,,Charles Bronson,,,Sam Jaffe,","Action, Adventure, Drama",111 min,
(1995),My Father is a Hero,6.5,"5,232","Director:,Corey Yuen,,|,Stars:,Jet Li,,,Anita Mui,,,Miao Xie,,,Rongguang Yu,","Action, Crime, Drama",104 min,
(1952),Against All Flags,6.5,"2,823","Director:,George Sherman,,|,Stars:,Errol Flynn,,,Maureen O'Hara,,,Anthony Quinn,,,Alice Kelley,","Action, Adventure, Drama",84 min,
(2017),Jawbone,6.5,"3,009","Director:,Thomas Napper,,|,Stars:,Ian McShane,,,Ray Winstone,,,Michael Smiley,,,Johnny Harris,","Action, Drama, Sport",91 min,
(2021),Iké Boys,6.5,935,"Director:,Eric McEver,,|,Stars:,Quinn Lord,,,Ronak Gandhi,,,Christina Higa,,,Billy Zane,","Action, Adventure, Fantasy",88 min,
(1980),Night of the Juggler,6.5,958,"Directors:,Robert Butler,,,Sidney J. Furie,,|,Stars:,James Brolin,,,Cliff Gorman,,,Richard S. Castellano,,,Linda Miller,","Action, Crime, Drama",101 min,
(2009),Vengeance,6.5,"6,798","Director:,Johnnie To,,|,Stars:,Johnny Hallyday,,,Anthony Chau-Sang Wong,,,Simon Yam,,,Suet Lam,","Action, Crime, Thriller",108 min,
(2022),The Hidden Fox,6.5,67,"Director:,Lei Qiao,,|,Stars:,Huawei Zhao,,,Yusi Chen,,,Ray Lui,,,Shanshan Chunyu,","Action, Adventure, Drama",103 min,
(1967),Carry on Don't Lose Your Head,6.5,"2,929","Director:,Gerald Thomas,,|,Stars:,Sidney James,,,Kenneth Williams,,,Jim Dale,,,Charles Hawtrey,","Action, Adventure, Comedy",90 min,
(1958),Kings Go Forth,6.5,"1,684","Director:,Delmer Daves,,|,Stars:,Frank Sinatra,,,Tony Curtis,,,Natalie Wood,,,Leora Dana,","Action, Drama, Romance",109 min,
(1966),The Man Called Flintstone,6.5,"1,740","Directors:,Joseph Barbera,,,William Hanna,,|,Stars:,Alan Reed,,,Mel Blanc,,,Jean Vander Pyl,,,Gerry Johnson,","Animation, Action, Adventure",89 min,
(1976),The Hunter Will Get You,6.5,"2,301","Director:,Philippe Labro,,|,Stars:,Jean-Paul Belmondo,,,Bruno Cremer,,,Jean Négroni,,,Patrick Fierry,","Action, Crime, Thriller",110 min,
(1970),Figures in a Landscape,6.5,"1,564","Director:,Joseph Losey,,|,Stars:,Robert Shaw,,,Malcolm McDowell,,,Henry Woolf,,,Christopher Malcolm,","Action, Thriller",110 min,
(1954),The Purple Plain,6.5,"2,280","Director:,Robert Parrish,,|,Stars:,Gregory Peck,,,Bernard Lee,,,Win Min Than,,,Brenda de Banzie,","Adventure, Drama, War",100 min,
(1942),Tarzan's New York Adventure,6.5,"3,419","Director:,Richard Thorpe,,|,Stars:,Johnny Weissmuller,,,Maureen O'Sullivan,,,Johnny Sheffield,,,Virginia Grey,","Action, Adventure",71 min,
(1955),The Cockleshell Heroes,6.5,"1,868","Director:,José Ferrer,,|,Stars:,José Ferrer,,,Trevor Howard,,,Dora Bryan,,,Christopher Lee,","Action, Drama, War",97 min,
(2019),Operation Cicero,6.5,"6,180","Director:,Serdar Akar,,|,Stars:,Erdal Besikçioglu,,,Burcu Biricik,,,Ertan Saban,,,Murat Garibagaoglu,","Action, Crime, Drama",126 min,
(1936),Tarzan Escapes,6.5,"3,464","Directors:,Richard Thorpe,,,John Farrow,,,James C. McKay,,,George B. Seitz,,,William A. Wellman,,|,Stars:,Johnny Weissmuller,,,Maureen O'Sullivan,,,John Buckler,,,Benita Hume,","Action, Adventure, Family",89 min,
(1952),Way of a Gaucho,6.5,754,"Director:,Jacques Tourneur,,|,Stars:,Rory Calhoun,,,Gene Tierney,,,Richard Boone,,,Hugh Marlowe,","Action, Adventure, Drama",93 min,
(1939),Tarzan Finds a Son!,6.5,"3,484","Director:,Richard Thorpe,,|,Stars:,Johnny Weissmuller,,,Maureen O'Sullivan,,,Johnny Sheffield,,,Ian Hunter,","Action, Adventure, Family",82 min,$2.27M
(2006),Dog Bite Dog,6.5,"2,553","Director:,Soi Cheang,,|,Stars:,Edison Chen,,,Sam Lee,,,Weiying Pei,,,Eddie Cheung,","Action, Crime, Drama",109 min,
(1972),The Outside Man,6.5,990,"Director:,Jacques Deray,,|,Stars:,Jean-Louis Trintignant,,,Ann-Margret,,,Roy Scheider,,,Angie Dickinson,","Action, Crime, Drama",104 min,
(1958),The Camp on Blood Island,6.5,673,"Director:,Val Guest,,|,Stars:,André Morell,,,Carl Möhner,,,Walter Fitzgerald,,,Edward Underdown,","Action, Drama, History",81 min,
(1957),Night Ambush,6.5,"1,744","Directors:,Michael Powell,,,Emeric Pressburger,,|,Stars:,Dirk Bogarde,,,Marius Goring,,,David Oxley,,,Dimitri Andreas,","Action, Adventure, Drama",93 min,
(1936),The General Died at Dawn,6.5,"1,279","Director:,Lewis Milestone,,|,Stars:,Gary Cooper,,,Madeleine Carroll,,,Akim Tamiroff,,,Dudley Digges,","Action, Drama, War",98 min,
(2016),Cold War 2,6.5,"2,993","Directors:,Lok Man Leung,,,Kim-Ching Luk,,|,Stars:,Aaron Kwok,,,Tony Ka Fai Leung,,,Chow Yun-Fat,,,Charlie Yeung,","Action, Crime, Drama",110 min,$0.56M
(I) (2017),Into the Rainbow,6.5,73,"Directors:,Norman Stone,,,Gary Wing-Lun Mak,,|,Stars:,Willow Shields,,,Maria Grazia Cucinotta,,,Chelsie Florence,,,Archie Kao,","Action, Adventure, Family",88 min,
(1994),Fatal Fury: The Motion Picture,6.5,"1,211","Director:,Masami Ôbari,,|,Stars:,Mark Hildreth,,,Peter Wilds,,,Jason Gray-Stanford,,,Lisa Ann Beley,","Animation, Action, Fantasy",100 min,
(1970),The McKenzie Break,6.5,"1,581","Director:,Lamont Johnson,,|,Stars:,Brian Keith,,,Helmut Griem,,,Ian Hendry,,,Jack Watson,","Action, Drama, War",108 min,
(I) (2018),The Clinic,6.5,55,"Director:,Darrell Wheat,,|,Stars:,Emily Bett Rickards,,,Meaghan Rath,,,Lulu Wilson,,,Richard Harmon,","Action, Horror, Mystery",90 min,
(2018),Paskal,6.5,"3,141","Director:,Adrian Teh,,|,Stars:,Hairul Azreen,,,Ammar Alfian,,,Henley Hii,,,Taufiq Hanafi,","Action, Adventure, Drama",115 min,
(1999),The Debt Collector,6.5,"1,149","Director:,Anthony Neilson,,|,Stars:,Billy Connolly,,,Ken Stott,,,Francesca Annis,,,Iain Robertson,","Action, Crime, Thriller",109 min,
(2014),Instruments of Darkness,6.5,45,"Director:,Vincent Regan,,|,Stars:,Rupert Grint,,,Sean Bean,,,Charles Dance,,,James D'Arcy,","Action, Drama, Fantasy",9 min,
(2020),Shinchan: Crash! Scribble Kingdom and Almost Four Heroes,6.5,261,"Director:,Takahiko Kyôgoku,,|,Stars:,Yumiko Kobayashi,,,Tesshô Genda,,,Tamao Hayashi,,,Hiroaki Hirata,","Animation, Action, Adventure",103 min,
(2011),Force,6.5,"8,122","Director:,Nishikant Kamat,,|,Stars:,John Abraham,,,Genelia D'Souza,,,Vidyut Jammwal,,,Raj Babbar,","Action, Crime, Drama",137 min,
(1986),Ninja Kids and the Samurai Sword,6.5,214,"Director:,Pablo Santiago,,|,Stars:,J.C. Bonnin,,,Francis Magalona,,,Ramon Christopher,,,Keno,","Action, Adventure, Comedy",100 min,
(2015),View from a Blue Moon,6.5,923,"Director:,Blake Kueny,,|,Stars:,Greyson Fletcher,,,Alex Florence,,,Ivan Florence,,,John John Florence,",Action,58 min,
(2018),The Lost Strait,6.5,"2,472","Director:,Bahram Tavakoli,,|,Stars:,Javad Ezati,,,Hamid Reza Azarang,,,Amir Jadidi,,,Ali Soleymani,","Action, Drama, History",93 min,
(2014),Not My Day,6.5,"4,892","Director:,Peter Thorwarth,,|,Stars:,Moritz Bleibtreu,,,Axel Stein,,,Jasmin Gerat,,,Anna Maria Mühe,","Action, Adventure, Comedy",110 min,
(2017),Cold Hell,6.5,"1,948","Director:,Stefan Ruzowitzky,,|,Stars:,Violetta Schurawlow,,,Tobias Moretti,,,Sammy Sheik,,,Friedrich von Thun,","Action, Crime, Thriller",92 min,
(1947),Singapore,6.5,668,"Director:,John Brahm,,|,Stars:,Fred MacMurray,,,Ava Gardner,,,Roland Culver,,,Richard Haydn,","Action, Adventure, Crime",79 min,
(2022),Borrowed Time III,6.5,28,"Directors:,Alan Delabie,,,David Worth,,|,Stars:,Eric Roberts,,,Louis Mandylor,,,Costas Mandylor,,,Patrick Kilpatrick,",Action,109 min,
(1959),Ten Seconds to Hell,6.5,"1,063","Director:,Robert Aldrich,,|,Stars:,Jack Palance,,,Jeff Chandler,,,Martine Carol,,,Robert Cornthwaite,","Action, Drama, Romance",93 min,
(2018),Commando Ninja,6.5,621,"Director:,Benjamin Combes,,|,Stars:,Eric Carlesi,,,Philippe Allier,,,Stéphane Asensio,,,Olivier Dobremel,","Action, Comedy",68 min,
(2022),Pink Rabbit,6.5,31,"Director:,Zetkin Yikilmis,,|,Stars:,Zetkin Yikilmis,,,Roland Bialke,,,Claus-Peter Seifert,,,Jakob Maximilian,","Action, Horror",104 min,
(2008),Agent Crush,6.5,174,"Director:,Sean Robinson,,|,Stars:,Brian Blessed,,,Neve Campbell,,,Brian Cox,,,Jon Culshaw,","Animation, Action, Adventure",93 min,
(1951),Apache Drums,6.5,866,"Director:,Hugo Fregonese,,|,Stars:,Stephen McNally,,,Coleen Gray,,,Willard Parker,,,Arthur Shields,","Action, Adventure, Drama",76 min,
